Trial,MAE,R2,Pearson_r,BAG_mean,BAG_std,Model,N_estimators,Max_depth
1,4.457036482980084,0.8977900149175421,0.9602035207330842,-0.6138715909676353,6.725968005384449,RandomForest,1036,18
2,4.457036482980082,0.8977900149175421,0.9602035207330842,-0.6138715909676352,6.725968005384449,RandomForest,1036,18
3,4.457036482980082,0.8977900149175421,0.960203520733084,-0.6138715909676349,6.7259680053844475,RandomForest,1036,18
4,4.457036482980084,0.8977900149175421,0.9602035207330842,-0.6138715909676355,6.725968005384449,RandomForest,1036,18
5,4.457036482980082,0.8977900149175421,0.9602035207330842,-0.6138715909676352,6.725968005384449,RandomForest,1036,18
6,4.457036482980082,0.8977900149175421,0.9602035207330842,-0.613871590967635,6.725968005384449,RandomForest,1036,18
7,4.457036482980084,0.8977900149175421,0.960203520733084,-0.6138715909676349,6.7259680053844475,RandomForest,1036,18
8,4.457036482980084,0.8977900149175421,0.9602035207330842,-0.6138715909676353,6.725968005384449,RandomForest,1036,18
9,4.457036482980084,0.8977900149175421,0.960203520733084,-0.6138715909676349,6.7259680053844475,RandomForest,1036,18
10,4.457036482980084,0.8977900149175421,0.9602035207330842,-0.6138715909676353,6.725968005384449,RandomForest,1036,18
11,4.457036482980084,0.8977900149175421,0.9602035207330842,-0.6138715909676353,6.725968005384449,RandomForest,1036,18
12,4.457036482980082,0.8977900149175421,0.960203520733084,-0.6138715909676352,6.7259680053844475,RandomForest,1036,18
13,4.457036482980084,0.8977900149175421,0.9602035207330842,-0.6138715909676352,6.725968005384449,RandomForest,1036,18
14,4.457036482980084,0.8977900149175421,0.9602035207330842,-0.6138715909676352,6.725968005384449,RandomForest,1036,18
15,4.457036482980084,0.8977900149175421,0.9602035207330842,-0.6138715909676352,6.725968005384449,RandomForest,1036,18
16,4.457036482980084,0.8977900149175421,0.9602035207330842,-0.6138715909676355,6.725968005384449,RandomForest,1036,18
17,4.457036482980084,0.8977900149175421,0.9602035207330842,-0.6138715909676352,6.725968005384449,RandomForest,1036,18
18,4.457036482980084,0.8977900149175421,0.9602035207330842,-0.6138715909676352,6.725968005384449,RandomForest,1036,18
19,4.457036482980084,0.8977900149175421,0.960203520733084,-0.613871590967635,6.7259680053844475,RandomForest,1036,18
20,4.457036482980084,0.8977900149175421,0.960203520733084,-0.6138715909676346,6.7259680053844475,RandomForest,1036,18
