Trial,MAE,R2,Pearson_r,BAG_mean,BAG_std,Model,N_estimators,Max_depth
1,4.523663233094047,0.9002665312214304,0.9648185836800244,-0.7397854465385161,6.630456422839636,RandomForest,262,40
2,4.523663233094048,0.9002665312214304,0.9648185836800247,-0.739785446538515,6.630456422839636,RandomForest,262,40
3,4.523663233094046,0.9002665312214304,0.9648185836800246,-0.7397854465385134,6.630456422839634,RandomForest,262,40
4,4.523663233094046,0.9002665312214304,0.9648185836800245,-0.739785446538515,6.630456422839634,RandomForest,262,40
5,4.523663233094047,0.9002665312214304,0.9648185836800247,-0.7397854465385146,6.630456422839634,RandomForest,262,40
6,4.523663233094047,0.9002665312214304,0.9648185836800245,-0.7397854465385145,6.630456422839634,RandomForest,262,40
7,4.523663233094047,0.9002665312214304,0.9648185836800245,-0.7397854465385152,6.630456422839636,RandomForest,262,40
8,4.523663233094047,0.9002665312214304,0.9648185836800245,-0.7397854465385146,6.630456422839634,RandomForest,262,40
9,4.523663233094046,0.9002665312214304,0.9648185836800244,-0.7397854465385152,6.630456422839634,RandomForest,262,40
10,4.523663233094046,0.9002665312214304,0.9648185836800244,-0.739785446538515,6.630456422839634,RandomForest,262,40
11,4.523663233094046,0.9002665312214304,0.9648185836800246,-0.7397854465385143,6.630456422839633,RandomForest,262,40
12,4.523663233094046,0.9002665312214304,0.9648185836800246,-0.7397854465385139,6.630456422839634,RandomForest,262,40
13,4.523663233094049,0.9002665312214304,0.9648185836800244,-0.7397854465385152,6.630456422839636,RandomForest,262,40
14,4.523663233094047,0.9002665312214304,0.9648185836800247,-0.7397854465385155,6.630456422839634,RandomForest,262,40
15,4.523663233094045,0.9002665312214304,0.9648185836800244,-0.7397854465385134,6.630456422839632,RandomForest,262,40
16,4.523663233094047,0.9002665312214304,0.9648185836800244,-0.7397854465385155,6.630456422839636,RandomForest,262,40
17,4.523663233094047,0.9002665312214304,0.9648185836800245,-0.7397854465385159,6.630456422839634,RandomForest,262,40
18,4.523663233094048,0.9002665312214304,0.9648185836800247,-0.7397854465385152,6.630456422839636,RandomForest,262,40
19,4.523663233094046,0.9002665312214304,0.9648185836800246,-0.7397854465385134,6.630456422839634,RandomForest,262,40
20,4.523663233094047,0.9002665312214304,0.9648185836800245,-0.739785446538515,6.630456422839634,RandomForest,262,40
